"","mos_ethnicity","complainant_ethnicity"
"858","White","Black"
"859","White","Black"
"860","White","Black"
"861","White","Black"
"862","White","Black"
"863","Hispanic","Black"
"864","Hispanic","Black"
"865","Hispanic","Black"
"866","Hispanic","Black"
"867","Hispanic","Black"
"868","Hispanic","Black"
"869","Hispanic","Black"
"870","Hispanic","Black"
"871","Hispanic","Black"
"872","Hispanic","Black"
"873","Black","White"
"874","Black","White"
"875","Black","White"
"876","Black","White"
"877","Black","White"
"878","Black","White"
"879","Black","White"
"880","Black","White"
"881","Black","White"
"882","Black","White"
"883","Black","White"
"884","Black","White"
"885","White","Hispanic"
"886","White","Hispanic"
"887","Hispanic","Black"
"888","Hispanic","Black"
"889","Hispanic","Black"
"890","Hispanic","Black"
"891","Hispanic","Black"
"892","Hispanic","Black"
"893","Hispanic","Black"
"894","Hispanic","Black"
"895","Hispanic","Black"
"896","Hispanic","Black"
"897","Hispanic","Hispanic"
"898","Hispanic","Hispanic"
"899","Hispanic","Hispanic"
"900","White",NA
"901","White",NA
"902","White",NA
"903","White",NA
"904","White",NA
"905","White",NA
"906","White",NA
"907","White",NA
"908","White",NA
"909","White",NA
"910","White",NA
"911","White",NA
"912","White",NA
"913","White",NA
"914","White",NA
"915","White","Black"
"916","White","Black"
"917","White","Black"
"918","White","Black"
"919","White","Black"
"920","White","Black"
"921","White","Black"
"922","White","Hispanic"
"923","White","Black"
"924","Hispanic",NA
"925","Hispanic",NA
"926","Hispanic",NA
"927","Hispanic","Hispanic"
"928","Hispanic","Hispanic"
"929","Hispanic","Hispanic"
"930","Hispanic","Hispanic"
"931","Hispanic","Hispanic"
"932","Hispanic","Black"
"933","Hispanic","Black"
"934","White","Hispanic"
"935","White","Hispanic"
"936","White","Hispanic"
"937","White","Black"
"938","White","Black"
"939","White","Black"
"940","White","Black"
"941","White","Asian"
"942","White","Asian"
"943","White","Hispanic"
"944","White","Unknown"
"945","White","Hispanic"
"946","White","Hispanic"
"947","White","Hispanic"
"948","White","Hispanic"
"949","White","Unknown"
"950","White","Hispanic"
"951","White","Hispanic"
"952","White","Unknown"
"953","White","Hispanic"
"954","White","Hispanic"
"955","White","Hispanic"
"956","White","White"
"957","Hispanic","Other Race"
"958","Asian",NA
"959","Asian","Black"
"960","Asian","Unknown"
"961","Asian","Unknown"
"962","Asian","Asian"
"963","Asian","Asian"
"964","Asian","Black"
"965","White","Black"
"966","White","Black"
"967","White","Black"
"968","White","Black"
"969","White","Black"
"970","White","Black"
"971","White","Black"
"972","White","White"
"973","Hispanic","Hispanic"
"974","Hispanic","Black"
"975","Black","Black"
"976","Black","Black"
"977","Black","Black"
"978","Black","Black"
"979","Black","Black"
"980","Hispanic","Black"
"981","Hispanic","Hispanic"
"982","Hispanic","Black"
"983","Hispanic","Black"
"984","Hispanic","Hispanic"
"985","Hispanic","Hispanic"
"986","Hispanic","Hispanic"
"987","Hispanic",NA
"988","Hispanic","Black"
"989","White","Black"
"990","White","Black"
"991","White","Black"
"992","White","Black"
"993","White","Other Race"
"994","White",NA
"995","White","Black"
"996","White","Black"
"997","White","Black"
"998","White","White"
"999","White","Unknown"
"1000","White","Black"
"1001","White","Black"
"1002","White","White"
"1003","White",NA
"1004","White","White"
"1005","White","White"
"1006","Black","Hispanic"
"1007","White",NA
"1008","Hispanic","Black"
"1009","Hispanic","Black"
"1010","White","Black"
"1011","White","Black"
"1012","White",NA
"1013","White","White"
"1014","White","White"
"1015","White","White"
"1016","White","White"
"1017","White","White"
"1018","White","Black"
"1019","White","Black"
"1020","White","Black"
"1021","White","Black"
"1022","White","Black"
"1023","White","Black"
"1024","White","Black"
"1025","White","Black"
"1026","White","Black"
"1027","White","White"
"1028","White","White"
"1029","White","White"
"1030","Hispanic","Black"
"1031","Hispanic","Black"
"1032","Hispanic","Black"
"1033","Hispanic","Black"
"1034","Hispanic","Black"
"1035","Hispanic","Black"
"1036","Hispanic","Black"
"1037","Hispanic","Black"
"1038","Hispanic","Black"
"1039","Hispanic","Black"
"1040","Hispanic","Black"
"1041","Hispanic","Black"
"1042","Hispanic","Black"
"1043","Hispanic","Black"
"1044","Hispanic","Black"
"1045","Hispanic","Hispanic"
"1046","Hispanic","Black"
"1047","White","Black"
"1048","White","Black"
"1049","White","Black"
"1050","White","Black"
"1051","White","Black"
"1052","White","Black"
"1053","Black","Black"
"1054","Black","Black"
"1055","White","Black"
"1056","White","Black"
"1057","White","Black"
"1058","White","Black"
"1059","White","Black"
"1060","Hispanic","Black"
"1061","Hispanic",NA
"1062","Hispanic",NA
"1063","Hispanic","Black"
"1064","Hispanic","Black"
"1065","Hispanic","Unknown"
"1066","Hispanic","Unknown"
"1067","Black","Hispanic"
"1068","Black","Black"
"1069","Black",NA
"1070","Black","Black"
"1071","Black","Hispanic"
"1072","Black","Hispanic"
